content,chunk_index,collection,content_type,filename,sequence_number,source,source_file,title,total_chunks,useless_to_recall,questions
"Bitcoin version 0.2 is here!Download links:http://sourceforge.net/projects/bitcoin/files/Bitcoin/bitcoin-0.2.0-win32-setup.exe/downloadhttp://sourceforge.net/projects/bitcoin/files/Bitcoin/bitcoin-0.2.0-win32.zip/downloadhttp://sourceforge.net/projects/bitcoin/files/Bitcoin/bitcoin-0.2.0-linux.tar.gz/downloadNew FeaturesMartti Malmi- Minimize to system tray option- Autostart on boot option so you can keep it running in the background automatically- New options dialog layout for future expansion- Setup program for Windows- Linux version (tested on Ubuntu)Satoshi Nakamoto- Multi-processor support for coin generation- Proxy support for use with TOR- Fixed some slowdowns in the initial block downloadMajor thanks to Martti Malmi (sirius-m) for all his coding work and for hosting the new site and this forum, and New Liberty Standard for his help with testing the Linux version.
Bitcoin 0.2 released!
December 16, 2009 at 22:45:36 UTC
BitcoinTalk",0,posts,post,post_028_Bitcoin_0.2_released!,28,nakamotoinstitute_files\posts\post_028_Bitcoin_0.2_released!.html,nakamotoinstitute_files\posts\post_028_Bitcoin_0.2_released!.html,Bitcoin 0.2 released!,1,False,"['What is Minimize to system tray option in Bitcoin version 0.2?', ""Did Martti Malmi (sirius-m) play a key role in Satoshi Nakamoto's coding work?"", 'When did the initial block download experience slowdowns in Bitcoin 0.2?', 'What was the release date and time of Bitcoin version 0.2?', 'Is multi-processor support for coin generation enabled in Bitcoin 0.2?', ""Was there any mention of user interface changes in Satoshi Nakamoto's statement about Bitcoin version 0.2?"", 'Can Linux users download the Windows setup program from the official sourceforge.net link?']"
"That's good, is it running fine on FreeBSD?I committed the changes to headers.h.Â  For consistency, I used __BSD__.Â  The complete list of defines is athttp://docs.wxwidgets.org/stable/wx_cppconst.html#ifdef __BSD__#include #endifmalloc.h is only needed on windows, I'll move that into the __WXMSW__ section before it causes any more trouble.
Re: A few suggestions
December 17, 2009 at 18:38:06 UTC
BitcoinTalk",0,posts,post,post_029_Re__A_few_suggestions,29,nakamotoinstitute_files\posts\post_029_Re__A_few_suggestions.html,nakamotoinstitute_files\posts\post_029_Re__A_few_suggestions.html,Re  A few suggestions,1,False,"[""What is Satoshi Nakamoto's view on consistency in the headers of a C++ project?"", 'Was malloc.h necessary to include before committing changes to headers.h for Satoshi?', 'At what point did Satoshi commit the changes to headers.h?']"
"What you can currently do is set ""Minimize to the tray"" in options, then run it as ""bitcoin -min"" so it starts minimized. Â The only visible part will be a small (20x20) icon on the tray, which can be doubleclicked if you want to access the UI. Â Note: there's a bug with tray icons sometimes disappearing on 64-bit Karmic Koala, not sure if it's from 64-bit or Karmic, it was fine on 32-bit Jaunty.We didn't have time to implement the ""Start Bitcoin on system startup"" feature on Linux in time for 0.2 so it's greyed out. Â I figured Linux people wouldn't mind doing that manually anyway. Â I guess they need to know about the -min switch to do it right.You can locate the data directory where you want with the ""-datadir="" switch. Â I know someone is already doing that to put it on a TrueCrypt USB drive.
Re: A few suggestions
December 18, 2009 at 17:37:48 UTC
BitcoinTalk",0,posts,post,post_030_Re__A_few_suggestions,30,nakamotoinstitute_files\posts\post_030_Re__A_few_suggestions.html,nakamotoinstitute_files\posts\post_030_Re__A_few_suggestions.html,Re  A few suggestions,1,False,"[""What is the purpose of setting 'Minimize to the tray' option in Bitcoin?"", ""How does running the command line with '-min' affect the user interface visibility?""]"
"I haven't tried compiling 64-bit yet. 64-bit wouldn't make it any faster, since it uses 64-bit numbers in only a few places and SHA-256 is a 32-bit algorithm, but it may be convenient for those running a 64-bit OS. If I get a chance I'll try -m64 and see what the problem is.You can run the 32-bit version on 64-bit Linux by installing ia32-libs. Â (sudo apt-get install ia32-libs) Â If we made a Debian package, it could automatically pull that in as a dependency.
Re: 64bit support
January 14, 2010 at 20:17:20 UTC
BitcoinTalk",0,posts,post,post_032_Re__64bit_support,32,nakamotoinstitute_files\posts\post_032_Re__64bit_support.html,nakamotoinstitute_files\posts\post_032_Re__64bit_support.html,Re  64bit support,1,False,"['How does 64-bit support work in Bitcoin, specifically regarding the use of 32-bit numbers?', ""Can Satoshi's view on performance optimizations for Bitcoin be deduced from his comments about 64-bit compilation?"", 'Why did Satoshi consider running a 32-bit version of Bitcoin on 64-bit Linux operating systems?']"
"Coins generate at the same speed with any number of connections >= 1.More connections just add redundancy. Â If you only had one connection, what if that node is slow or busy, or only connected to you? Â Having several connections increases the certainty that you're well connected to the network. Â That hasn't been a problem in practice, the network is very thoroughly connected. Â If you have 2 or 3 connections, you're fine.
Re: Number of connections?
January 20, 2010 at 20:07:15 UTC
BitcoinTalk",0,posts,post,post_033_Re__Number_of_connections_,33,nakamotoinstitute_files\posts\post_033_Re__Number_of_connections_.html,nakamotoinstitute_files\posts\post_033_Re__Number_of_connections_.html,Re  Number of connections ,1,False,"['What does Satoshi Nakamoto argue about the impact of multiple connections on a peer-to-peer network?', 'Was connecting to more nodes than necessary considered redundant by Satoshi in his view?', ""How does Satoshi relate the reliability of connections to the overall health of the network, as per his experience with Bitcoin's development?""]"
"I've been thinking about that for a while. Â I want to add the backend support for .onion addresses and connecting to them, then go from there.There aren't many .onion addresses in use for anything because the user has to go through a number of steps to create one. Â Configure TOR to generate a .onion address, restart TOR, configure it with the generated address. Â Perhaps this is intentional to keep TOR so it can't be integrated into file sharing programs in any sufficiently automated way.
Re: TOR and I2P
January 20, 2010 at 22:05:28 UTC
BitcoinTalk",0,posts,post,post_034_Re__TOR_and_I2P,34,nakamotoinstitute_files\posts\post_034_Re__TOR_and_I2P.html,nakamotoinstitute_files\posts\post_034_Re__TOR_and_I2P.html,Re  TOR and I2P,1,False,"[""What was Satoshi Nakamoto's view on integrating Bitcoin with other anonymity networks?"", ""At what stage of Bitcoin's development did Satoshi begin discussing .onion addresses and connecting to them?"", 'Was Satoshi Nakamoto aware that the user process for creating a .onion address might be intended to prevent integration into file-sharing programs?']"
"Yes, it's a technical limitation.Â  Sending by bitcoin address enters the transaction into the network and the recipient discovers it from the network.Â  You don't connect directly with them and they don't have to be online at the time.I very much wanted to find some way to include a short message, but the problem is, the whole world would be able to see the message.Â  As much as you may keep reminding people that the message is completely non-private, it would be an accident waiting to happen.Unfortunately, ECDSA can only sign signatures, it can't encrypt messages, and we need the small size of ECDSA.Â  RSA can encrypt messages, but it's many times bigger than ECDSA.
Re: A newb's test - anyone want to buy a picture for $1?
January 28, 2010 at 01:01:48 UTC
BitcoinTalk",0,posts,post,post_036_Re__A_newb's_test_-_anyone_want_to_buy_a_picture_for_$1_,36,nakamotoinstitute_files\posts\post_036_Re__A_newb's_test_-_anyone_want_to_buy_a_picture_for_$1_.html,nakamotoinstitute_files\posts\post_036_Re__A_newb's_test_-_anyone_want_to_buy_a_picture_for_$1_.html,Re  A newb's test - anyone want to buy a picture for $1 ,1,False,"['What did Satoshi Nakamoto say about peer-to-peer transactions in Bitcoin?', 'How does Bitcoin address work for sending transactions?', 'Was the lack of message encryption due to a trade-off between private keys and transaction signing speed?', 'Can Bitcoin signs include digital signatures instead of messages?', 'What is the technical limitation that led Satoshi to design the Bitcoin network as it is today?']"
"Where it says ""# blocks"" in the status column I'm changing it to say ""# confirmations"".Â  That might be clearer.If you doubleclick on the transaction you get a little more information.
Re: Blocks never stop generating?
January 28, 2010 at 01:08:33 UTC
BitcoinTalk",0,posts,post,post_037_Re__Blocks_never_stop_generating_,37,nakamotoinstitute_files\posts\post_037_Re__Blocks_never_stop_generating_.html,nakamotoinstitute_files\posts\post_037_Re__Blocks_never_stop_generating_.html,Re  Blocks never stop generating ,1,False,"[""What does Satoshi Nakamoto mean by 'blocks never stop generating'?"", 'How did double-clicking on a transaction provide more information?', 'When was the post about block generation made?', 'Did Satoshi mention peer-to-peer networks in this email?', ""Why did Satoshi suggest changing '# blocks' to '# confirmations'?""]"
"The resync idea would go through your wallet and check it against the block index to find any transactions that your current computer doesn't realize are already spent.Â  That could happen if they were spent on another computer with a copy of the wallet file, or you had to restore the wallet to a backup from before they were spent.Â  Currently, the software just assumes it always knows whether its transactions are spent because it marks them spent in wallet.dat when it spends them.A wallet merge tool is possible to implement but much less in demand once resync solves most of the problem.Â  With resync, you could do about the same thing by sending all the money from one wallet to the other.Â  The receiver would resync and discover all its overlapping coins were spent, then receive them in the new transaction.
Re: Bitcoin crash when sending coins
January 28, 2010 at 23:08:02 UTC
BitcoinTalk",0,posts,post,post_038_Re__Bitcoin_crash_when_sending_coins,38,nakamotoinstitute_files\posts\post_038_Re__Bitcoin_crash_when_sending_coins.html,nakamotoinstitute_files\posts\post_038_Re__Bitcoin_crash_when_sending_coins.html,Re  Bitcoin crash when sending coins,1,False,"[""What is a resync in Bitcoin's development?"", 'Can a wallet merge tool solve the problem of overlapping transactions?', 'In what year was Satoshi Nakamoto discussing the issues of wallet merging and resyncing in Bitcoin?', 'Would implementing a resync process resolve most of the conflict resolution problems in Bitcoin wallets?', 'When sending coins, does the Bitcoin software only consider transactions marked spent in wallet.dat to be irreversible?']"
"That's the right way to do it as riX says.Â  The software can generate a new bitcoin address whenever you need one for each payment.Â  ""Please send X bc to [single-use bitcoin address] to complete your order""Â  When the server receives that amount to the bitcoin address, that could trigger it to automatically fulfil the order or e-mail the shop owner.Adding command line support is a high priority.Â  It's just a matter of getting the time to code it.
Re: Payment server
January 28, 2010 at 23:26:09 UTC
BitcoinTalk",0,posts,post,post_039_Re__Payment_server,39,nakamotoinstitute_files\posts\post_039_Re__Payment_server.html,nakamotoinstitute_files\posts\post_039_Re__Payment_server.html,Re  Payment server,1,False,"[""What is Satoshi's view on adding command line support to the Bitcoin software?"", 'Can the bitcoin server receive payments via a single-use bitcoin address?', 'How does the system currently generate new bitcoin addresses for each payment?', 'Will a shop owner be automatically notified when a payment is received via a single-use bitcoin address?', 'What is the estimated time required to add command line support to the software?', 'Can users trigger orders to fulfil automatically after receiving payments via a single-use bitcoin address?', 'Did Satoshi mention any specific technical details about how the server handles payments to single-use bitcoin addresses?']"
"I uploaded this fix to the SVN.Â  It watches for spent coins and updates your wallet on load and also continuously as blocks come in.Â  I also put a better error message, but it should never hit it because it always finds spent coins ahead of time, unless you spent the same money at the same time on two computers at once.If you want to try it, PM or e-mail me your e-mail address where I can send it as an attachment and also what OS (win, linux 32-bit, linux 64-bit).
Re: Bitcoin crash when sending coins
February 3, 2010 at 23:29:57 UTC
BitcoinTalk",0,posts,post,post_042_Re__Bitcoin_crash_when_sending_coins,42,nakamotoinstitute_files\posts\post_042_Re__Bitcoin_crash_when_sending_coins.html,nakamotoinstitute_files\posts\post_042_Re__Bitcoin_crash_when_sending_coins.html,Re  Bitcoin crash when sending coins,1,False,"[""What is Satoshi Nakamoto's approach to handling spent coins in Bitcoin?"", 'How does the SVN fix referenced in the document update a wallet on load and continuously with new blocks?', 'Is there any possibility of accidentally spending the same money on two computers at once and never having it caught by the fix?', 'What operating system version does the fix support?', 'Why was an error message added to the fix?', 'Did Satoshi upload this fix for testing purposes only?}', 'Under what circumstances would the improved error message not be triggered?']"
